wmt_article_id,wmt_line_number,exp_item_number,src,human,mt,spam
ifeng0812.news.49766281_0,847,O-73,日本油企尤其对被称为“茶壶”的中国小型独立炼油厂崛起表示警惕。,"Japanese oil companies are particularly wary of the rise of small independent oil refineries in China referred to as ""teapots"".","Japanese in particular China's known as rise expressed companies small, over alarm of independent oil have the refineries, ""teapots.""",mt
sina0812.tech.doc-ifxuxnai9861987-p3,1827,O-74,在外观方面，nubiaZ11mini采用了一块5英寸的1080P屏幕，正面下方依旧是经典的“小红圈”设计。,"For the exterior design, nubiaZ11mini has a 5'' 1080P screen with the signature small red ring at the front bottom.","In terms of appearance, the nubiaZ11mini features a 5-inch 1080P screen, with the classic ""little red circle"" design still underneath the front.",
ifeng0812.news.49764552_0,565,O-75,2015年9月，俄罗斯应叙利亚政府邀请开始对叙极端主义势力进行军事打击。,"In September 2015, at the invitation of the Syrian government, Russia commenced military strikes against extremist forces in Syria.","In September 2015, Russia began a military campaign against extremist forces in Syria at the invitation of the Syrian government.",
peopledaily0812.health.c404177-28631549,1524,O-76,连续熬夜看奥运赛事容易损伤心脏,Staying up all night to watch the Olympics makes one prone to heart damage,Staying up late to watch the Olympics can damage your heart,
ifeng0812.news.49766058_0,801,O-77,40℃以上高温工作人员每月最多可领20元/天的津贴（劳动者已经依法享受高温作业岗位津贴的除外）。,Workers working at above a temperature of 40℃ can receive a monthly subsidy of up to 20 RMB per day (this does not apply to a worker who is already provided with a high temperature operation subsidy according to law).,High temperature workers above 40 ℃ are entitled to a monthly allowance of up to 20 yuan / day (except for those workers who have already enjoyed the post allowance for high temperature operation in accordance with the law).,
ifeng0812.news.49765934_0,766,O-78,“但水颜色发生变化肯定对身体健康，特别是对运动员是没有影响的。”,"""Although the color of the water has changed, it will definitely not affect one's health, especially as regards athletes.""","""But a change in the colour of the water certainly has no effect on health, especially for athletes,"" he said.",
peopledaily0812.health.c404177-28631549,1532,O-79,韩志远介绍，今年以来，其科室已接诊了一些25岁左右的心肌梗塞或者脑中风患者，这很大程度上是患者长期熬夜的生活方式造成的。,"Han Zhiyuan said that since the beginning of this year, the department has admitted a number of patients aged 25 years or so with myocardial infraction or stroke. This, to a very large extent, was the result of a lifestyle of staying up late over long periods.","Han Zhiyuan said that so far this year, its departments have received some 25-year-old patients with myocardial infarction or stroke, which is largely due to the patient's long stay up late lifestyle.",
ifeng0812.news.49765900_2,753,O-80,该园由100多个圆形小池塘组成，种植了约300个品种的观赏荷花、睡莲等。,This park is comprised of more than 100 little round ponds with approximately 300 varieties of lotuses and water lilies.,"The garden consists of more than 100 small round ponds, planted about 300 varieties of ornamental lotus, water lilies, etc.",
ifeng0812.news.49765900_2,754,O-81,乡村荷花产业兼具观赏性、休闲性和经济效益，成为当地新农村发展的亮点。,"The rural lotus industry incorporates ornamental, recreational and economic benefits, and has become a highlight for new rural development.","The rural lotus industry has both ornamental, leisure and economic benefits, and has become a bright spot in the development of new rural areas.",
ifeng0812.news.49766540_0,863,O-82,统计局表示，新西兰人口增幅此前仅在１９７４年和上世纪５０年代到６０年代早期的“婴儿潮”人口出生高峰时期超过２％。,"The New Zealand statistics department expressed that the only time when the population of New Zealand experienced a birth rate exceeding 2% was during 1974 and during the ""baby boomer"" period from 1950s to early 1960s.","The Bureau of Statistics said New Zealand's population growth had previously been just over 2 per cent in 1974 and at the peak of the ""baby boom"" population in the 1950s and early 1960s.",
sina0812.tech.doc-ifxuxnai9861987-p3,1828,O-83,中框为金属材质，底部采用对称式设计并配置了Type-C数据接口。,"The middle axis is made of metal material. A symmetrical design is used for the bottom, and a Type-C data interface has been installed.","The middle frame is made of metal, and the bottom is symmetrically designed and equipped with a Type-C data interface.",
sina0812.news.doc-ifxuxhas1624320,1741,O-84,韩某称，他怕肖某打他，就从垃圾堆捡来一把水果刀，将其扎死。,"Han said he was afraid that Xiao might hit him, so he picked up a paring knife and stabbed him to death.","Han claimed he was afraid Xiao would hit him, so he picked up a fruit knife from the rubbish heap and stabbed him to death.",
ifeng0812.news.49765934_0,763,O-85,“我们了解了一系列可能会引发池水变色的原因以及水质的含碱度。”,"""We learned about a number of factors that may cause the water to change in terms of color as well as water quality and alkalinity.""","""We learned about a range of possible causes of pool water discoloration and the alkalinity of the water quality,"" he said.",
ifeng0812.news.49765934_0,757,O-86,澳大利亚水球选手赛后表示他的眼睛感到刺痛，想流眼泪。,An Australian water polo player said that he experienced stinging pain in his eyes after the competition and felt teary.,The Australian water polo player said after the match that he felt a tingling in his eyes and wanted to shed tears.,
sina0812.news.doc-ifxuxhas1624320,1740,O-87,韩某称，案发当天，他俩被朋友叫去一起喝酒，两人在吃饭时和饭后曾两次发生争执。,"Han said that during the day of the incident, both of them were invited by a friend for a drink. The two argued twice during the meal and after the meal.","Han claimed that on the day of the crime, they were called by friends to drink together, and that the two men had argued twice during and after dinner.",
ifeng0812.news.49766281_0,851,O-88,在获得原油进口许可后，“茶壶炼油厂”能够进口硫磺含量较低的阿曼产原油和俄罗斯产原油，其石油产品的品质也出现提升。,"Upon receiving crude Oman refineries"" import lower quality permits, import to oil content with The crude their sulfur allowed ""teapot and petroleum Russia. from oil are of products has also improved.","After obtaining permission to import crude oil, the Teapot Refinery was able to import Omani and Russian crude oil with low sulphur content, and the quality of its petroleum products also improved.",human
ifeng0812.news.49765934_0,760,O-89,最早在跳水池池水变绿后，比赛主办方在9日晚加班处理跳水池的问题，但在10日早晨发现水球池颜色也迅速发生变化。,"At first, after the water in the diving pool turned green, the tournament organizer worked over time to address the issue of the diving pool on the night of the 9th, but on the morning of the 10th, the color of the water polo pool also turned green rapidly.","After the water in the diving pool turned green at the earliest, the competition organizers worked overtime on the night of 9 to deal with the problem, but on the morning of 10 found that the color of the water polo pool also changed rapidly.",
ifeng0812.news.49766540_0,868,O-90,截至２０１６年６月的１２个月时间里，新西兰劳动年龄人口增长３.６％，达到１５８万人。,"For a period of 12 months up till June 2016, the working age population of New Zealand grew by 3.6% to reach a total of 1.58 million people.",New Zealand's working-age population grew 3.6 percent to 1.58 million in the 12 months to June 2016.,
ifeng0812.news.49766664_0,873,O-91,截至今年8月11日，新筑车站共开行中亚班列221列、10009车，累计发运出口货物33.8万吨，其中2016年开行84列，同比增长47%。,"As of August 11 this year, a total of 221 trips, 10,009 train cars, and 338,000 tons of goods have departed from the newly constructed train station, of which 84 train cars have left in 2016 for a 84% growth compared to the same period last year.","As of 11 August this year, a total of 221 Central Asian trains and 10,009 vehicles had been operated at Xinzhu Station, with a cumulative total of 338,000 tons of exported goods shipped, including 84 in 2016, an increase of 47 percent over the same period last year.",
ifeng0812.news.49765262_0,641,O-92,她指自己把钻石藏在内衣里，连续几日上厕所、洗澡都带着，走路睡觉都十分紧张。,"She said that she hid the diamonds in her underwear. For a few days in a row, she would carry them along with her to the toilet and when she took a shower. She felt extremely nervous even when she was walking or sleeping.","She said she hid the diamonds in her underwear, carried them to the toilet and shower for days on end, and was nervous about walking and sleeping.",
ifeng0812.news.49767046_0,932,O-93,"加拿大警方在周三的新闻发布会中表示，警方收到的信息包括美国联邦调查局提供的有关这名青年将要实施袭击的""殉道视频""。","Canadian police expressed at the press conference on Wednesday that it had received information, including a ""martyrdom video"" provided by the Federal Bureau of Investigation that this youth was about to launch an attack.","Canadian police said at a news conference Wednesday that the information they had received included a ""martyrdom video"" from the FBI about the young man who was about to carry out the attack.",
ifeng0812.news.49766058_0,806,O-94,有用人单位拒不发放高温津贴的，劳动者可向用工所在地县级以上人力资源社会保障主管部门投诉。,"In case employer refuse to pay high-temperature allowance, employee is entitled to complain to the local administrative authority of HR and social security at the county level.","If an employing unit refuses to pay a high-temperature allowance, the worker may file a complaint with the department in charge of human resources and social security at or above the county level in the place where the employee is employed.",
ifeng0812.news.49765323_0,650,O-95,据悉，英国新首相特蕾莎·梅将在8月24日返回伦敦，之后等待她的是一系列重要工作和活动。,"It was reported that Theresa May, the new Prime Minister of Great Britain, will return to London on August 24. What awaits her next is a series of important tasks and activities.","It is understood that Britain's new prime minister, Theresa May, will return to London on 24 August, after which a series of important jobs and activities await her.",
ifeng0812.news.49766281_0,850,O-96,生产出来的石油产品硫磺含量较高，油品不佳，成为造成环境污染的原因之一。,"The petroleum produced and content, contributing are quality. are of products to a factor higher have They sulfur poor environmental pollution.",The production of petroleum products with high sulfur content and poor oil quality has become one of the causes of environmental pollution.,human
ifeng0812.news.49764552_0,562,O-97,俄将在该基地继续建设相关军事基础设施，俄军人的生活条件也会得到相应保障。,Russia will continue to construct relevant military infrastructure at this base so that the living conditions of Russian soldiers will be ensured.,"Russia will continue to build the relevant military infrastructure at the base, and the living conditions of Russian military personnel will be guaranteed accordingly.",
peopledaily0812.health.c404177-28631549,1529,O-98,如果长期熬夜，不仅心血管功能受影响，而且胃肠功能、免疫系统、神经内分泌系统都会受影响，甚至罹患肿瘤的风险也会增大。,"Staying up late over a long period of time will not only affect one's cardiovascular function but also one's gastrointestinal function, immune system and neuroendocrine system; even the risk of getting cancer will increase.","Staying up late for long periods of time not only affects cardiovascular function, but also gastrointestinal function, the immune system, the neuroendocrine system, and even the risk of developing tumors.",
ifeng0812.news.49765934_0,768,O-99,“我们本来希望早晨泳池就能恢复正常颜色，但是由于下雨所以恢复的速度受到了影响。”,"""We had hoped that the pool would return to its normal color in the morning, but rain had affected the pace of restoration.""","""We had hoped that the pool would return to normal color in the morning, but the pace of recovery was affected by the rain,"" he said.",
ifeng0812.news.49766281_0,849,O-100,在获得原油进口许可之前，“茶壶炼油厂”一般从俄罗斯等地进口硫磺含量较高的重油进行提炼。,"Before gaining crude oil import permits, ""teapot refineries"" typically import crude oil from Russia and other places with higher sulfur content for refining.","Before obtaining with crude refineries"" import from oils import to places high content permission such sulphur oil, Russia ""teapot heavy as generally for refining.",mt
ifeng0812.news.49765323_0,649,O-101,两位女首相的选择和布莱尔和卡梅伦两位男首相喜欢到较热的地方度假形成了反差。,"The choice of the two female Prime Ministers contrasts with that of the two male Prime Ministers, Blair and Cameron, who liked to holiday in warmer places.","The choice of two female prime ministers contrasts with the two male prime ministers, Tony Blair and David Cameron, who prefer to spend their holidays in hotter places.",
sina0812.news.doc-ifxuxhas1624320,1742,O-102,庭上，被害人家属要求韩某赔偿丧葬费、死亡赔偿金等共计53万余元。,"During the court proceedings, the grieving family members demanded Han to pay a compensation amounting to over 530,000 RMB for the burial fees and death of the victim.","The court, the victim's family asked Han to compensation for funeral expenses, death compensation, etc., a total of more than 530,000 yuan.",
ifeng0812.news.49766058_0,804,O-103,因高温天气停止工作、缩短工作时间的，用人单位不得扣除或降低劳动者工资。,Employers may not deduct or reduce the salary of laborers if work has to be suspended or work time reduced due to high temperatures.,The employing units shall not deduct or reduce the wages of the workers if they stop working or shorten their working hours due to the hot weather.,
ifeng0812.news.49764552_0,563,O-104,他还说，如果不对极端主义势力进行打击，这些势力会扩展到俄罗斯。,"He added that if extremist organizations are not suppressed, these forces will spread to Russia.","Without a crackdown on extremist forces, they would expand into Russia, he added.",
ifeng0812.news.49765323_0,646,O-105,有媒体称，在英国公投脱欧后，英国新首相选择到欧洲大陆上的“中立国”瑞士度假，带有某种政策象征性。,"Some media said that after the UK referendum to leave the European Union, the new British Prime Minister opted to have a vacation in Switzerland that has been regarded as a ""neutral state"" in continental Europe, and act that may be symbolic in terms of policy.","Media captionIn the wake of the British referendum on Brexit, Britain's new prime minister chose to take a holiday in Switzerland, a ""neutral country"" on the European continent, with some sort of policy symbolism.",
ifeng0812.news.49765262_0,638,O-106,据香港《东方日报》8月12日报道，目前内地钻石销售被指存在三大问题，包括虚标钻石净度推高售价、虚标钻石重量、售后无保障等。,"August 12 news report by Oriental Daily, a Hong Kong news company, said that there are 3 major issues of diamond sales in Mainland China. This includes false labeling of diamond purity to drive up prices, false labeling of diamond mass, and lack of post-sales guarantee.","Hong Kong's Oriental Daily reported on August 12, the current mainland diamond sales are alleged to exist in three major problems, including false diamond clarity to push up prices, false diamond weight, after-sale insecurity and so on.",
ifeng0812.news.49767046_0,930,O-107,原标题：加拿大警方击毙IS支持者：自制炸弹袭击闹市准备工作近尾声,Original title: Canadian police shoots and skills IS supporter at final stage of creating home-made explosives for attacking the city area,Originally published as caption: Canadian police shoot dead IS supporter: Homemade bomb attacks downtown preparations near end,
ifeng0812.news.49767497_0,1028,O-108,据地方民政部门报告，目前暂未造成人员伤亡，具体灾情正在进一步统计核查中。,Local civil affairs departments reported that no casualty has been caused. The severity and damages caused by the disaster is currently being calculated and verified.,"According to the local civil affairs department reported that there were no casualties, the specific disaster is being further statistical verification.",
ifeng0812.news.49767844_0,1109,O-109,警方立即将该嫌疑人执行上网追逃，采取多种措施布控，并通过联系外地警方协查王某国的下落。,"The police immediately initiated an online manhunt for the suspect, deployed multiple measures, and contacted police forces in other areas to find out the whereabouts of Wang X. Guo.","Police immediately put the suspect on the Internet to pursue, to take a variety of measures deployed, and through contact with the police outside the country to help check the whereabouts of Wang.",
ifeng0812.news.49766058_0,803,O-110,以往不少单位会以清凉饮品冲抵高温津贴，市安监局表示这种行径不合乎现行办法。,"In the past, many companies often use cooling and refreshing beverages to offset the high temperature subsidy. The city administration of work safety, however, expressed that this act is not compliant to the current laws.","In the past, many units would offset the high temperature allowance with refreshing drinks. The City Safety Supervision Bureau said that this practice was not in line with the current practice.",
ifeng0812.news.49766281_0,854,O-111,JX能源表示，“2015年底之后，中国开始向澳大利亚出口高品质的轻油”，在亚洲市场上与日本产品形成竞争。,"JX said that  since "" China started exporting high-quality light oil to Australia from the end of 2015"", the nation has become a competitor of Japan in the Asian market.","""After the end exporting light competing 2015, Australia,"" products to high-quality China JX the Japanese of with began Energy in oil said, Asian market.",mt
peopledaily0812.health.c404177-28631549,1525,O-112,巴西奥运会赛事正如火如荼地进行，即便赛事播出时在国内是半夜时分，很多市民也会熬夜观看。,"The Olympic games in Brazil are currently all the rage. Even though many of the games are broadcast during midnight hours in China, many fellow citizens will stay up all night to watch these games.","Brazil's Olympic events are in full swing, and many citizens will stay up to watch them even if they are broadcast in the middle of the night in the country.",
ifeng0812.news.49766058_0,808,O-113,因此高温津贴不在最低工资范围内，必须以现金形式发放，不能用饮料等实物代替。,High temperature subsidies are not included considered part of the minimum wage and must be issued in the form of cash. They cannot be replaced in the form of beverages or other tangible items.,"The high temperature allowance is therefore not covered by the minimum wage and must be paid in cash and cannot be substituted in kind, such as beverages.",
ifeng0812.news.49767046_0,934,O-114,他在视频中表示，袭击将在72小时内发生，而且是在高峰时间。,He expressed in a video that the ambush will initiate in 72 hours during peak traffic.,He said in the video that the attack would take place within 72 hours and during peak hours.,
ifeng0812.news.49766664_0,872,O-115,据了解，此班货运班列运输的货物品类涵盖工业原材料、机械设备、工业零配件、建材、食品、轻工产品六大类、共计206个品种。,"It was reported that the cargo transported on this freight train included a total of 206 product varieties in six major categories, namely, industrial raw materials, machinery and equipment, industrial parts and components, building materials, food, and light industry products.","It is understood that this class of freight train transportation of goods category covers industrial raw materials, machinery and equipment, industrial spare parts, building materials, food, light industrial products, a total of 206 varieties.",
ifeng0812.news.49766540_0,867,O-116,从人口结构上看，大量移民涌入意味着１５岁至３９岁的“劳动年龄人口”比例逐步扩大。,"In terms of demographics, an influx of immigrants suggests that the proportion of ""working-age population"", those between 15 and 39 years old, is expanding gradually.","Demographically, the influx of migrants has meant a gradual increase in the proportion of ""working-age people"" between the ages of 15 and 39.",
peopledaily0812.health.c404177-28631549,1528,O-117,韩志远特别提醒，有高血压、高血糖、高血脂、吸烟习惯、家族病史等心血管危险因素的群体，如果熬夜，会更容易引发心血管疾病。,"Han Zhiyuan issued a special reminder to groups with high blood pressure, high blood sugar, high cholesterol, a smoking habit, a family medical history and other cardiovascular risk factors that if they stay up late, they would easily trigger cardiovascular illness.","Han specifically cautioned that groups with cardiovascular risk factors such as high blood pressure, high blood sugar, high blood lipids, smoking habits and family history were more likely to develop cardiovascular disease if they stayed up late.",
ifeng0812.news.49766281_0,845,O-118,核心提示：日本油企尤其对被称为“茶壶”的中国小型独立炼油厂崛起表示警惕。,"Key reminder: oil Japan's of to oil small independent referred the are of China rise in enterprises refineries wary as ""teapots"".","Core tip: Japanese oil companies are particularly wary of the rise of China's small, independent refineries, known as teapots.",human
ifeng0812.news.49766058_0,799,O-119,目前全国至少已有28个省份明确了津贴发放标准，不过各省市发放的标准并不一样，而重庆则是按高温工作日津贴的方式领取高温津贴。,"Currently, at least 28 provinces in the country have clarified their subsidy disbursement criteria, but the disbursement criteria differs among provinces. In Chongqing, high-temperature subsidy is received based on subsidy for high-temperature working days.","At least 28 provinces across the country have now clarified the criteria for the payment of allowances, although the criteria are not the same in the provinces and municipalities, while Chongqing receives a high-temperature allowance in the form of a high-temperature working day allowance.",
ifeng0812.news.49765323_0,648,O-120,英国《每日电讯报》评论指出，特蕾莎·梅选择到瑞士度假，这是撒切尔夫人后，首次再有英国首相到瑞士度假。,A review in the UK's The Daily Telegraph pointed out that Theresa May chose to holiday in Switzerland. This was the first time a UK Prime Minister holidayed in Switzerland after Mrs Thatcher.,"The Daily Telegraph review noted that Theresa May chose to holiday in Switzerland, the first time a British prime minister has visited the country since Mrs Thatcher.",
ifeng0812.news.49767202_0,986,U-1,一项针对大学生社交习惯的调查显示，57%的大学生每天使用手机的时间超过5小时，日常生活基本“机不离手”。,"A survey investigating college student socializing habits found that 57% of college students spend more than 5 hours a day on cellphones, literally making cellphones ""inseparable"" during everyday lives.","According to a survey on college students' social habits, 57 percent of college students spend more than five hours a day using their mobile phones.",
ifeng0812.news.49767542_0,1031,U-2,20年来，“爱心原山”以实际行动书写着人间大爱，原山林场先后接管、代管了5个困难事业单位，直接安置职工近千人次。,"For over 20 years, the ""Loving Yuanshan"" project has employed actual actions to provide charitable services to the entire society. Yuanshan Forest Farm has received and managed 5 business units in difficult straits, helping to resettle nearly a thousand employees in the process.","Over the past 20 years, the ""love of the original mountain"" with practical action to write the great love of the world, the original mountain forest farm has taken over, in charge of the five institutions in difficulty, direct placement of workers nearly a thousand times.",
ifeng0812.news.49766908_0,916,U-3,在这种情况下，依靠中央奖补资金来推进去产能的进程可能会产生一定负面的影响。,"Under such straits, reliance on rewards and compensations from the central government to further increase production capacity will generate a certain degree of negative impact.","In this case, relying on central incentive funds to advance the process of capacity removal may have a certain negative impact.",
ifeng0812.news.49765988_0,786,U-4,国家统计局发布的数据显示，7月份固定资产投资增速、进口总额等数据有所回落。,"Figures from the National Bureau of Statistics revealed that fixed asset investment growth, total imports and other data declined again in July.",Figures released by the National Bureau of Statistics show that the growth rate of fixed-asset investment and total imports fell in July.,
ifeng0812.news.49767202_0,988,U-5,扩大人际关系圈，更平等地对话，避免社交顾虑，才是我们越发深爱线上聊的主要原因。,"Expanded relationship circles, being able to chat on equal footing, and avoidance of social stigma are the main reasons why we become increasingly fond of online chat.","Expanding the circle of relationships, having more equal conversations, and avoiding social concerns are the main reasons why we love online chatting more and more.",
ifeng0812.news.49767202_0,983,U-6,从表面上看，网络社交平台扩大了交际圈，降低了人们的孤独感。,"On the surface, social networking platforms have widened the social circle and reduced loneliness.","On the surface, online social platforms have expanded the social circle and reduced people's feelings of loneliness.",
ifeng0812.news.49766908_0,909,U-7,而2月份以来，煤价逐步回升，近期秦皇岛动力煤价格更是连续上涨四周，上升到16个月来的高点，一度攀升到每吨436元，比年初上涨近70元。,"Since February, coal prices have started to rebound. The price of steam coal at Qinhuangdao has risen for 4 consecutive weeks, reaching a peak during the last 16 months at a price of 436 Yuan per ton, a figure that almost rose by 70 Yuan compared to the start of the year.","And since February, coal prices gradually recovered, the recent Qinhuangdao thermal coal prices rose for four consecutive weeks, rose to a 16-month high, once climbed to 436 yuan per ton, up nearly 70 yuan from the beginning of the year.",
sina0812.news.doc-ifxuxnpy9455610,1804,U-8,江西省纪委通报称，陈阳霞、程子亮等人在私人会所组织和接受吃请，违反了中央八项规定精神，触犯了党的纪律。,"The Commission for Discipline Inspection of Jiangxi Province reported that Chen Yangxia, Cheng Ziliang and others organized and accepted invitations to dinner (extended as a bribe) at private clubs, in breach of the spirit of the CPC Central Committee's Eight Provisions, and violated Party discipline.","The Jiangxi Provincial Commission for Discipline Inspection reported that Chen Yangxia and Cheng Ziliang, among others, had violated the spirit of the eight central regulations and violated party discipline by organizing and accepting invitations to dinner in private clubs.",
ifeng0812.news.49767078_0,944,U-9,通行费征收时间自2016年6月15日起至2019年6月14日止。,"Toll collection hours will begin on June 15, 2016 and end on June 14, 2019.",Tolls from be 14 until collected 15 June will 2016 June 2019.,mt
ifeng0812.news.49766908_0,914,U-10,第二，这也与地方政府的推进力度直接相关，在去产能的过程中，资金和相应的配套措施都要到位，从这个方面看来，不同地区的差异确实比较大。,"Second, it is directly related to the advance effort exerted by the local government. Cutting industrial overcapacity requires proper supportive measures which are varied in different places.","Second, this is also directly related to the local government's efforts to promote, in the process of capacity removal, the funds and corresponding supporting measures have to be in place, from this perspective, the differences between different regions are indeed relatively large.",
ifeng0812.news.49767937_0,1132,U-11,上海警方4个月擒贼3400余人打击“盗抢骗”团伙157个,"Shanghai Police arrested more than 3,400 individuals from 157 groups of ""thieves, robbers, and frauds"" in 4 months","Shanghai police have arrested more than 3,400 thieves in four months and cracked down on 157 ""robbery and deception"" gangs",
ifeng0812.news.49767937_0,1134,U-12,据盗窃团伙成员供述，他们通过包乘黑车方式从外地进入上海，随后分别下车作案，数小时后各自会合上车，再一同离沪。,"According the confessions of members of the gang of thieves, they entered Shanghai from other parts of the country by chartering an unlicensed taxi. They then separately disembarked to commit the crimes, and would meet up several hours later to leave Shanghai together in the vehicle.","According to the statement of the members of the theft gang, they entered Shanghai from other parts of the country by taking a black car in a package, then alighted and committed the crime separately, and then joined their cars and left Shanghai together several hours later.",
sina0812.news.doc-ifxuxhas1753235,1750,U-13,2014年10月16日，沭阳法院作出民事裁定，裁定对李某所有养殖场内蛋鸡2000只予以扣押，未经允许不得转移、变卖。,"In October 16, 2014, the court of Shuyang gave a civil verdict, and ruled to seize the 2,000 egg-laying hens in Li's poultry farm. The chickens may not be transferred or sold without permission.","On 16 October 2014, the Shuyang Court issued a civil ruling ordering the seizure of 2,000 laying hens from all of Li's farms and that they should not be transferred or sold without permission.",
ifeng0812.news.49767006_0,925,U-14,瑞信银行国际投资吸引力指数包括4个分项指数：基础设施、经济前景、商业环境和直接投资量。,"Credit Suisse's international investment attractiveness index includes four sub-indices: infrastructure, economic outlook, business environment and volume of direct investment.","Credit Suisse's International Investment Attraction Index consists of four sub-indices: infrastructure, economic outlook, business environment and volume of direct investment.",
sina0812.news.doc-ifxuxhas1750585,1744,U-15,台湾《联合报》8月12日消息称，12日上午逾百辆出租车绕行台湾“行政院”以示抗议，导致周边出现严重交通瘫痪现象。,"Taiwan's United Daily News reported on August 12 that on the morning of the 12th, more than 100 taxis circled Taiwan's ""Executive Yuan"" as drivers staged a protest, severely paralyzing traffic in the surrounding area.","Taiwan's United Daily News reported on August 12 that more than 100 taxis took a detour around Taiwan's ""Executive Yuan"" in protest, causing severe traffic paralysis in the surrounding area.",
ifeng0812.news.49765988_0,791,U-16,盛来运指出，7月份还有一个特殊情况，洪涝灾害比较严重，高温酷暑天气对一些地区的生产经营带来了一些影响。,"Sheng Laiyun pointed out the occurrence of extraordinary events in July: floods were worse than usual, and the hot weather and high temperatures affected production and the operations of some regions.","Sheng noted that there was also a special situation in July, with more severe flooding and severe heat, which had some impact on production and operations in some areas.",
ifeng0812.news.49766908_0,911,U-17,对此，中国（海南）改革发展研究院经济所所长匡贤明进行了分析与解读。,"Kuang Xianming, director of the China Institute for Reform and Development (Hainan), analyzed and interpreted this.","In this regard, China (Hainan) Reform and Development Research Institute, Director of the Institute of Economics Kuang Xianming conducted analysis and interpretation.",
ifeng0812.news.49767202_0,991,U-18,IT工程师吴言是深度网络社交爱好者，他大部分的社交生活都发生于线上，网络联系人更数倍于线下朋友圈人数。,"IT engineer Wu Yan is strong fan for social networking, and spends most of his socializing time and life online, with many more online contacts than friends he meet offline.","Wu Yan, an IT engineer, is a deep social network enthusiast. Most of his social life takes place online, with online contacts several times larger than the number of offline friends.",
ifeng0812.news.49767078_0,950,U-19,"社会资金用于公共基础设施的建设符合国家政策的要求,也成为破解资金瓶颈的途径。","Social capital used for constructing public infrastructure is compliant to national policy requirements, and has become a means to resolve the capital bottleneck.","Social funds the the requirements the way public in for policy, to with also bottleneck line the become of but national of construction infrastructure crack of funds.",mt
ifeng0812.news.49765988_0,788,U-20,他解释“形有波动”是指7月份部分经济指标增速确实是有所回落。,"He explained that ""fluctuations exist in the trend"" refers to the fact that the growth rates of some of the July economic indicators have indeed declined.","He explained that ""volatility"" refers to the fact that the growth rate of some economic indicators did decline in July.",
ifeng0812.news.49765988_0,787,U-21,盛来运说，关于7月份的国民经济运行情况，我想借用总理曾经讲过的一句话“形有波动，势仍向好”，这能够比较好地概括7月份的经济运行的特征。,"Sheng Laiyun said, ""As far as the operating condition of the national economy in July is concerned, I would like to borrow a phrase from the Premier, and that is 'fluctuations exist but the trend remains positive'. This can better encapsulate the characteristics of the economy in July.""","Sheng Laiyun said that with regard to the performance of the national economy in July, I would like to borrow a phrase once spoken by the Prime Minister, ""The situation is fluctuating and the trend is still positive,"" which can better summarize the characteristics of the economic operation in July.",
ifeng0812.news.49766908_0,918,U-22,我们的目的是要通过淘汰落后的产能，推进结构的优化，重构整个煤炭行业的新业态。,"Our aim is to get rid of obsolete production capacity, achieve structural optimization, and re-organize the coal industry into a new business form.",Our aim is to reconfigure the new format of the entire coal industry by eliminating backward production capacity and promoting the optimization of the structure.,
sina0812.news.doc-ifxuxhas1750585,1746,U-23,然而政府言而无信，一拖再拖。,"However, the government failed to keep its promise, and delayed time and again.","Yet the government has failed to live up to its word, dragging its feet.",
ifeng0812.news.49767909_0,1124,U-24,新汇改实施以来，人民币改变了之前升值状态，一年间人民币汇率中间价贬值约8％。,"Since the new currency reforms, Renminbi reversed its appreciation and its central parity rate dropped by about 8% within an year.","Since the implementation of the new exchange rate reform, the renminbi has changed its previous state of appreciation, with the midpoint value of the renminbi depreciating by about 8 per cent over the course of a year.",
xinhua0812..c_129223859,1996,U-25,国内一家券商分析师表示，东方证券在港基础并不算好，旗下资管业务才是东证所长。相比中银国际、中信证券等银行系券商，显得先天不足。,A local securities analyst expressed that Orient Securities does not have a strong base in Hong Kong. The asset management business unit under Orient Securities is where the firm excels in. The firm is relatively less advantaged when compared to securities traders based on banks such as BOC International and CITIC Securities.,"An analyst at a domestic brokerage said that Orient Securities was not on a good footing in Hong Kong and that its asset management business was the director of TSE, which appeared to be inherently inadequate compared with banks such as Bank of China International and CITIC Securities.",
ifeng0812.news.49767202_0,997,U-26,小鹏和吴言在一个大群里相识，因为两人都是积极发言者，很快就熟络起来了。,"Xiaopeng and Wu Yan met in a big group. As they were both active speakers, they became acquainted very quickly.",Xiao Peng and Wu Yan met in a large group because they were both active speakers and soon became familiar with each other.,
ifeng0812.news.49765988_0,796,U-27,他表示，“势仍向好”指的是尽管经济增速有所回落，但是经济运行总体平稳，稳中有进、稳中向好的大势没有变。,"He said that the ""trend is still positive"" meant that although economic growth has decelerated, the economy was running steadily on the whole. The general trend of improvement amid stability and growing positively amid stability remained unchanged.","He said the ""trend is still positive"" refers to the fact that despite the slowdown in economic growth, the overall economic performance is stable, steady and positive trend has not changed.",
ifeng0812.news.49765988_0,789,U-28,因为7月份国内外经济仍处在深度调整之中，国际形势复杂多变，世界经济的复苏不及预期，所以出口压力还是比较大。,"The pressure on exporting sector is still huge due to the  drastic adjustment of domestic and international economy in July, profound change of international situation and the  world economic recovery failed the expectation.","Because the domestic and foreign economies were still undergoing deep adjustment in July, the international situation was complicated and changeable, and the recovery of the world economy was less than expected, so the pressure on exports was still relatively strong.",
